id,subject,body,t1_final,t2_final
37708,,NULL,Specialty,Logistics - CCR
37709,,"We have notified USPS of the missing shipment and USPS is currently investigating.  Their reference # is #00848520.  Our insurance requires that we allow the carrier to complete their investigation prior to any refunds or reshipments being completed.

Thank you,

APMEX Bullion Center on eBay Customer Service

From: customerhelp@ebay.com [mailto:customerhelp@ebay.com]
Sent: Wednesday, October 05, 2016 6:59 PM
To: eBay-cs
Subject: Important Case (5114773734) Update: Your Action Required SR# 1-88172971763

[eBay]
Important Case (5114773734) Update: Your Action Required SR# 1-88172971763


Hello APMEX, Inc.,



We are contacting you today about the 2015 Mexico 1 oz Silver Libertad BU (eBay item: 112124155494) that you recently sold. I understand your buyer has opened a request because they haven't received the item yet.   We understand that this has been an upsetting transaction and appreciate your continued patience. We appreciate the opportunity to work with you to resolve this issue.



As the item has not yet been received by your buyer and they have requested a refund for the transaction we are requesting that you issue a full refund to your customer. We have placed the case on hold for 3 days (until the end of day on ) to allow time for you to issue this refund.  You will be able to process this refund be returning back to the Resolution Center and sele",M2M Escalation,Buyer Protect High ASP Claim
37710,,"As previously stated, that label was not used because it was unable to be
read by USPS. A new label was created by myself and the unit was dropped
off at the post office weeks ago. I will dig up that tracking information
and forward it to you.

On Oct 6, 2016 8:47 AM, <highvalueclaimsinfo@ebay.com> wrote:

> [image: eBay]
> Important Case (5111610244) Update: Your Action Required SR# 1-88230726970
>
>
> Hello Jason,
>
>
>
> We're contacting you about the Metal Detector (eBay item: 152181245264)
> that you recently purchased. I understand that you opened the case stating
> the item is not working correctly.  I can only imagine how upsetting it
> would be to receive an item that does not match the listing description. I
> can definitely see that this has been a troublesome and time consuming
> transaction.
>
>
>
> We also appreciate your patience while we respond to your case. We have
> had a recent influx of emails, and since each one is answered personally it
> has taken us some time to reply to everyone.
>
>
>
> We see that your seller has provided us with a return shipping label that
> we forwarded to you. I do not see that the label was used and wanted to let
> you know that if you do not intend on sending the item back we recommend
> you close your case by visiting the resolution center. If you are not
> satisfied with the solution the sell",M2M Escalation,Buyer Protect High ASP Claim
37711,Re: Important Case (5114408914) update from eBay Customer Service SR# 1-87547644898,"I don't see where I can enter tracking info. This item was sent back.

Charlie Winslow

> On Sep 29, 2016, at 10:00 AM, highvalueclaimsinfo@ebay.com wrote:
> 
> 
> Important Case (5114408914) update from eBay Customer Service SR# 1-87547644898
> 
> 
> Hello Charles,
>  
> I am following up with you from our call today regarding the Schon 1of1 Unique Pool Cue (item #302049001494) that you purchased. Thank you for taking the time to call in to help us get this problem resovled.
> I have placed the case on hold for 5 days, until Tuesday, October 04, 2016 and advised the seller to issue a label for the return shipment or to cover your return shipping costs.  We are asking that you and the seller to provide a means of a return that include signature confirmation and insurance.
>  
> In the situation where your seller sends the funds to you for return shipping, you will need to make sure the item is returned with signature confirmation. If the funds are sent to you from your seller reach out to us for further instructions on how to send the item back. You can reply to this message to let us know as soon as you receive the funds. If your seller sends you a shipping label to send the item back with, reply to this email with the tracking number on the return label.
>  
> We will be in touch with you by your registered phone number or by email within 2 business days of t",M2M Escalation,Buyer Protect High ASP Claim
37712,,"Sam, ebay customer service, escalated, escalation team,  done deal.
Run Yan and I have come to a mutually agreed  resolution. I just paypaled him $125.00 
I am mailing him the invoice as well. so the transaction is conclude,
Keith Roggerding


Oct 5, 2016, at 10:51 AM, highvalueclaimsinfo@ebay.com wrote:
> 
> 
> Important Case (5115363167) Update: Case Closed SR# 1-88146534751
> 
> 
> Hello Keith,
> We are following up with you about the Cambridge Audio Receiver (item # 322271085839) that you sold. My name is Sam with eBay High Value Claims Department in the Resolution Center, we were talking about this case on the phone, I tried to contact you back at the phone number and there was no answer. 
>  
> After working with a member of leadership, we have closed the case out in your favor, the hold on PayPal will be released within the next 48 hours so you can send your customer the partial refund amount.
> We do need to see the partial refund take place within the next couple of days, First, it provides your customer with a better buying experience if they are refunded by their seller, rather than by eBay. If no partial refund is process to your customer once the hold is release, eBay would look at granting an appeal for your buyer for that partial refund amount of $100.
> When eBay is required to resolve cases, it can affect a seller’s search placement, selling li",M2M Escalation,Buyer Protect High ASP Claim
37713,,NULL,Specialty,Logistics - CCR
37714,"GS=CU1193 | Escalating claim to CS, I received an item that is not as described [#US 100770T ?01 ]",eBP Automation Request,M2M Escalation,Buyer Protect High ASP Claim
37715,,"
Please see below
On Friday, September 30, 2016 12:59pm, ""Eric Dayton"" <eric@ksportusa.com> said:



> That would be the correct part number yes. You would have to change out the hub
> center bells AND the caliper brackets. The center bell pair runs $900 and the
> center bell hardware runs $125. The brackets cost $350.
> 
> The
> 
> Eric
> Account Manager
> 
> www.KSPORTUSA.com
> 
> Eric@ksportusa.com
> Phone: 480-829-8100
> Fax:     480-829-8103
> 
> Like us on Facebook for exclusive content!
>  
> *Please include original message(s) when responding* This email and any files
> transmitted with it are confidential and intended solely for the use of the
> individual or entity to whom they are addressed. If you have received this email
> in error please notify the system manager. This message contains confidential
> information and is intended only for the individual named. If you are not the
> named addressee you should not disseminate, distribute or copy this e-mail. Please
> notify the sender immediately by e-mail if you have received this e-mail by
> mistake and delete this e-mail from your system. If you are not the intended
> recipient you are notified that disclosing, copying, distributing or taking any
> action in reliance on the contents of this information is strictly prohibited.
> 
> -----Original Message-----
> From: chris@mo-co-so.com [mailto:chris@mo-co-so.com]
> Se",M2M Escalation,Buyer Protect High ASP Claim
37716,RE: Important Case (5114503406) Update from eBay Customer Support SR# 1-86970235261,"
    
Hi, 
The seller just reached out to me and asked me to send it to the address she provided. Shw didn't provide me with the return label or offer to pay for the return but that's ok. I can cover the cost. Is it ok to send it back to her or am I supposed to wait for her to refund my money and then send the item back to her? 


Sent via the Samsung Galaxy Note® 4, an AT&T 4G LTE smartphone

-------- Original message --------
From: highvalueclaimsinfo@ebay.com 
Date: 9/29/16  11:08 AM  (GMT-08:00) 
To: le_vy1988@yahoo.com 
Subject: Important Case (5114503406) Update from eBay Customer Support SR# 1-86970235261 

.header{background-color:#f9f9f9;font-family:Helvetica Neue,Helvetica, Arial; Light;font-size:11px;}			body{margin:16px;color:#333333;background-color:#f9f9f9;font-family:Helvetica Neue,Helvetica, Arial; Reg;font-size:14px;font-weight:normal;font-style:normal;line-height: 1.2;}			#email p{margin: 14px 0;}			#email a{color:#0563C1;}			.subject{ font-size: 18px; margin: 16px 0 30px 0;}			.thanks{margin: 36px 0 90px 0 !important;}			.footer{background-color:#FFFFFF;font-family:Helvetica Neue,Helvetica, Arial; Light;font-size:11px;}			.info{color:#767676;font-size:12px;font-family:font-family:Helvetica Neue,Helvetica, Arial; Light; }		Important Case (5114503406) Update from eBay Customer Support SR# 1-86970235261

	Hello Vy, We are contacting you today about the Diorama F",M2M Escalation,Buyer Protect High ASP Claim
37717,,"Shipping label

On Wed, Oct 5, 2016 at 1:30 PM, Kim Harden <kimberharden@gmail.com> wrote:

> Sorry-I don't have time to read this, but I think it explains it.
> ---------- Forwarded message ----------
> From: <highvalueclaimsinfo@ebay.com>
> Date: Wed, Oct 5, 2016 at 12:55 PM
> Subject: Important Case (5115019338) Update: Your Action Required SR#
> 1-88147262262
> To: kimberharden@gmail.com
>
>
> [image: eBay]
> Important Case (5115019338) Update: Your Action Required SR# 1-88147262262
>
>
> Hello Kim,
>
>
>
> We are contacting you today about the Rolex Oyster Perpetual Air-King
> Wrist Watch for Men Stainless Steel (eBay item: 112139927295) that you
> recently sold. I understand the buyer opened the case stating item doesn't
> match the description.We understand the frustration you’ve experienced
> during this transaction and apologize for the inconvenience this has
> caused. We appreciate the opportunity to work with you to resolve this
> issue.
>
>
>
> We also appreciate your patience while we respond to your email. We have
> had a recent influx of emails, and since each one is answered personally it
> has taken us some time to reply to everyone. We have reviewed all the
> information and we have found the buyer has a valid claim covered under the
> eBay Money Back Guarantee. With this in mind we have decided that the best
> outcome for t",M2M Escalation,Buyer Protect High ASP Claim
37718,,"Here is your Return Shipping Label to shipping that I had to pay more for
because I couldn't use Ebay to do return shipping.

On Wed, Oct 5, 2016 at 7:26 PM, <highvalueclaimsinfo@ebay.com> wrote:

> [image: eBay]
> Important Case (5115259038) Update: Your Action Required SR# 1-88171392168
>
>
> Hello Rashad,
>
>
>
> We are contacting you today about the Akai Production Center (eBay item:
> 172343861461) that you recently sold. I understand the buyer opened the
> case stating damaged on the item.We know these types of situations can be
> stressful. We are happy to help as we go through this case together.
>
>
>
> We have reviewed all the information and we have found the buyer has a
> valid claim covered under the eBay Money Back Guarantee. With this in mind
> we have decided that the best outcome for this situation would be to have
> the item returned. With these returns the seller is responsible for the
> cost of return shipping. To allow time for you to arrange this return we
> have put this case on hold for 5 days (until end of day on 10/9/2016).
>
>
>
> Because of the value of the item, we cannot issue a return shipping label
> to your customer on your behalf. The options we recommend to arrange the
> return are to send your customer a prepaid return shipping label or to send
> your buyer money through PayPal using the ""Send Money"" option to",M2M Escalation,Buyer Protect High ASP Claim
37719,"Re: eBay Customer Support,  SR# 1-87550088403","Hello Christopher,

I appreciate your email, but the shipment tracking information I received showed that the delivery took place in a town about 15 miles away from me. How do you explain that?

My address is clear. I order an identical item from the same seller 10 days prior. It arrived fine. 

What you are saying just does not make sense. The facts are that my item was delivered to someone in the wrong city. As the shipper, it is eBay's responsibility to deliver purchased items to the correct address. It is not my responsibility to follow up with customs or anyone else to find out what happened.

Sorry, but eBay is responsible to correct this error. Please let me know when you have it resolved.

Robin Deyoe

> On Oct 5, 2016, at 14:21, merchantsupport_na@ebay.com wrote:
> 
> 
> eBay Customer Support, SR# 1-87550088403
> 
> 
> Hello R. K. Deyoe,
>  
> Thank you for contacting eBay. I would like to apologize for the delay it took in replying back to you.
> Since each contact is handled personally, and we have had a high amount of contacts from members most recently, it has taken some time for us to reply back to you. We appreciate your patients and understanding.
>  
> I am so sorry to hear that you have had some difficulty getting your item. I definitely want to do what I can to help assist you with your concern.
> So I understand that you have provided",Specialty,Logistics - CCR
37720,,NULL,Specialty,Logistics - CCR
37721,,"I am still waiting for a Return Shipping Label

I disagree with the seller

The dolls hair is not the same texture as my other lillis therefore I there the hair has been altered

And the auction states the limbs move nicely and they don’t

They are stiff in some motions and it makes a lot of squeezing noise

 

Request Return Shipping Label and Full refund

 

 

From: highvalueclaimsinfo@ebay.com [mailto:highvalueclaimsinfo@ebay.com] 
Sent: Friday, October 07, 2016 9:38 AM
To: bglover68@verizon.net
Subject: Important Case (5114945485) Update: Your Action Required SR# 1-88348486281

 

 eBay <http://p.eBaystatic.com/aw/pics/logos/logoEBay_x45.gif> 

Important Case (5114945485) Update: Your Action Required SR# 1-88348486281

 

 

 

 

Hello Brent ,

 

We are following up with you today in regards to the  Bild Lilli Doll (eBay item #152223474426) that you purchased.  I understand you opened the case stating the item is not as described.  We understand the frustration you’ve experienced during this transaction and apologize for the inconvenience this has caused. We appreciate the opportunity to work with you to resolve this issue.

 

 

 

We have extended the case hold for 2 more days to allow you time to provide the requested documentation.

 

Please reply back to this email from your bglover68@verizon.net email address t",M2M Escalation,Buyer Protect High ASP Claim
37722,"GS=CU1193 | Escalating claim to CS, I received an item that is not as described [#US $US 100770T ?0",eBP Automation Request,M2M Escalation,Buyer Protect High ASP Claim
37723,Bazaar Assets LLP:  VERO Notice of Infringement,"


**************************************
Notice of Claimed Infringement - Statutory Declaration

eBay International A.G.

Attn: VeRO Programme

Fax: +44 (0)20 7153 0985

Date: 5 October 2016

Dear eBay,

I, Allison Duff of Bazaar Assets LLP do solemnly and sincerely declare as follows:

�?I am the owner, or an agent authorised to act on behalf of the owner, of certain intellectual property rights (“IP Owner�?;

�?I have a good faith belief that the listings identified below (by item number) offer items or contain materials that are not authorised by the IP Owner, its agent, or the law, and therefore infringe the IP Owner’s rights according to English law; and

�?I make this declaration conscientiously believing it to be true and correct and in accordance with English law.

Rights owner:_Bazaar Assets LLP

Address of the rights owner: Unit 2 Easter Park, Baker Road, Cramlington NE23 1WQ

_________________________________________________________________________

I may be contacted at:

Name and Title of the author of the Notice: Miss Allison Duff

Company of the author of the Notice: Bazaar Assetts LLP

Address: Unit 2 Easter Park, Baker Road, Cramlington NE23 1WQ

email address (for communication with eBay): sales@beanbagstoreuk.com<mailto:sales@beanbagstoreuk.com>

email address (for communication with sellers)*: _sales@beanbagstoreuk.co",e2M Listing,VeRO - CCR
37724,RE: eBay VeRO Programme - NOCI Received - More Information Requested,"Hello
Thank you for your email, I have reported this under 5.1 as the seller is advertising for sale a copy of our patented product, the seller is offering this item for sale worldwide, I have given the European patent number.  If this explanation is not sufficient please get back to me as soon as possible.
Kind regards 

____________________________________________________________________________________________________________________________________
 

WWW.SPOMB.COM

Spomb LimitedContact number for orders and enquiries: +44 (0)1322 276176
Note our Trading Terms and Conditions were updated, February 2015, with following additional term: Should we find any customers with accounts stocking, selling or
advertising for sale any products that infringe, or may infringe our
Intellectual Property, we will reserve the right to close the account.
Please see Full Trading and Terms Conditions, various photographs of Spomb�?bait dispensers and our company logo at: http://spomb.livedrive.com/

> From: vero@ebay.co.uk
> To: sales@spomb.com
> Date: Tue, 4 Oct 2016 16:45:34 -0700
> Subject: eBay VeRO Programme - NOCI Received - More Information Requested
> 
> Hello, 
> 
> Thank you for contacting the VeRO Programme.
> 
> We reviewed the Notice of Claimed Infringement you sent us today and the items you identified.  
> 
> inmall
> 272393326103
> 
> The Verified Rights",e2M Listing,VeRO - CCR
37725,Policy General,"Bonjour
Oui c'est la bonne adresse
Calmet mathieu
Les provinces, rue du 11 novembre bat hainaut entrée 11 , 54520 Laxou
Merci

Envoyé de mon iPhone

Le 6 oct. 2016 à 02:08, ""customerhelp@ebay.com<mailto:customerhelp@ebay.com>"" <customerhelp@ebay.com<mailto:customerhelp@ebay.com>> a écrit :

[eBay]
Objet eBay non remis à votre adresse de livraison - SR 1-88173816878


Bonjour laxstore2013,

Nous éprouvons quelques difficultés à livrer l'objet 182255048970 que vous avez acheté sur eBay auprès de jamies_vintage_toys83 (ORA : A2316847119FR). Cela est généralement dû à une adresse ou un numéro de téléphone incomplets ou non reconnus.

Veuillez vérifier l'adresse de livraison et le numéro de téléphone fourni. Nous avons essayé de livrer l'objet à l'adresse suivante : Les provinces rue du 11 novembre bat hainaut entree 11,,Laxou,Lorraine,54520,France.  Le numéro de téléphone est le 0652505636.

Si ces informations ne sont pas correctes, veuillez les modifier ici :
http://payments.ebay.fr/ws/eBayISAPI.dll?UserAddresses&cmd=standalone

Remarque : nous ne pouvons pas envoyer l'objet à une adresse située dans un pays différent de celui spécifié initialement. Par ailleurs, nous n'envoyons pas les colis vers les boîtes postales ni les consignes automatiques.

--Il n'est pas nécessaire de nous contacter une fois que vous aurez modifié l'adresse.--

Si l'adresse de",Specialty,Logistics - CCR
37726,Policy General,"Dear Ebay,

Please redeliver the item I have ordered 291459948964 to the previously
given address.
The address is correct, *Foktői ut 64., Kalocsa, Bacs-kiskun megye, 6300, *
*Hungary*.
My phone number is also correct, only that a plus sign was missing from the
beginning:* +36305255265.*

I really hope that this time we can receive the ordered item.

Looking forward to your reply.

Richárd Váradi



2016-10-06 2:04 GMT+02:00 <customerhelp@ebay.com>:

> [image: eBay]
> eBay item undeliverable to your address - SR# 1-88173794411
>
>
> Hello ricsmond2012,
>
> We're having trouble delivering your order of eBay item 291459948964 from
> cvpedinburgh (ORA: A1569139852HU). This is usually caused by an incomplete
> or unrecognized address or phone number.
>
> Please review the delivery address and phone number. The address we tried
> to deliver to is Foktoi ut 64.,,Kalocsa,Bacs-kiskun,6300,Hungary.  The
> phone number is 36305255265.
>
> If these details are incorrect, please edit them here:
> http://payments.ebay.com/ws/eBayISAPI.dll?UserAddresses&cmd=standalone
>
> Note: We can't ship to an address in a different country than originally
> listed. Also, we don’t ship to PO Boxes or Packstations.
>
> --You don't need to contact us once you've updated the address.--
>
> If the shipping address and phone number are correct, let us know by
> replyi",Specialty,Logistics - CCR
37727,Listing(s) uses unauthorized copy of copyrighted image [Case #429214],"
Notice of Claimed Infringement - Statutory Declaration


eBay International A.G.
Attn: VeRO Programme


Fax: +44 (0) 870 458 4522

Date: 05-Oct-2016

Dear eBay,

I, Harriet Williams, Group Multi-Channel Director of Labelux Group do solemnly and sincerely declare as follows:

- I am the owner, or an agent authorised to act on behalf of the owner, of certain intellectual property rights (""IP Owner"");

- I have a good faith belief that the listings identified below (by item number) offer items or contain materials that are not authorised by the IP Owner, its agent, or the law, and therefore infringe the IP Owner's rights according to English law; and

- I make this declaration conscientiously believing it to be true and correct and in accordance with English law.

Rights owner:
Address of the rights owner:

I may be contacted at:

Name of IP Owner: Labelux Group
Name and Title of the author of the Notice: Harriet Williams, Group Multi-Channel Director
Company of the author of the Notice: Labelux Group
Address: 10 Horwick Place, London,  SW1P 1GW
Email address (for communication with eBay): belstaff@enforcements.markmonitor.com
email address (for communication with sellers)*: enforcements@labeluxbrandprotection.com
Telephone: 44.0203.2062220
Fax: 44.0203.2062220

* please fill in, if you wish to have a different address.

In addition to the un",e2M Listing,VeRO - CCR
37728,Re: Re: Important Case (5114236310) Update from eBay Customer Support SR# 1-86951175323," blockquote, div.yahoo_quoted { margin-left: 0 !important; border-left:1px #715FFA solid !important; padding-left:1ex !important; background-color:white !important; }  Hi, 
I'm writing to follow up on the status of this claim. I have not heard back and would like to know what else needs to be done. 
Thank you


Sent from Yahoo Mail for iPhone


On Friday, September 30, 2016, 2:56 PM, highvalueclaimsinfo@ebay.com <highvalueclaimsinfo@ebay.com> wrote:

.header{background-color:#f9f9f9;font-family:Helvetica Neue, Helvetica, Arial;font-size:11px;}body{margin:16px;color:#333333;background-color:#f9f9f9;font-family:Helvetica Neue, Helvetica, Arial;font-size:14px;font-weight:normal;font-style:normal;line-height:1.2;}#email p{margin:14px 0;}#email a{color:#0563C1;}.subject{font-size:18px;margin:16px 0 30px 0;}.thanks{margin:36px 0 90px 0 !important;}.footer{background-color:#FFFFFF;font-family:Helvetica Neue, Helvetica, Arial;font-size:11px;}.info{color:#767676;font-size:12px;font-family:Neue, Helvetica, Arial;}  RE: Re: Important Case (5114236310) Update from eBay Customer Support SR# 1-86951175323

 
Hello Victor,

 

Thank you for your response in regard to the Breitling Chronoracer Rattrapante A69048 Men's Watch (eBay item: 112121869729) that you purchased.  I understand you don't feel the seller is going to provide you a return label. I'm happy to address your con",M2M Escalation,Buyer Protect High ASP Claim
37729,50 Perches Land for Sale in Gampaha.,"Your email client cannot read this email.
To view it online, please go here:
http://e.propertiesl.com/display.php?M=39919&C=dd3db6a7e9b68c90582f6f1e852c72bf&S=235&L=3&N=58


To stop receiving these
emails:http://e.propertiesl.com/unsubscribe.php?M=39919&C=dd3db6a7e9b68c90582f6f1e852c72bf&L=3&N=235
",e2M Listing,VeRO - CCR
37730,Jusqu'à moins 70% chez Claudie Pierlot,,e2M Listing,VeRO - CCR
37731,,NULL,Specialty,Logistics - CCR
37732,FW: eBay VeRO Programme - NOCI Received - More Information Requested,"Why are these counterfeit products still for sale?

Please remove immediately!


[cid:image003.png@01D21F01.7DAE29C0]

Jet Doran,

SnapDragon Monitoring Ltd.


[SnapDragon Monitoring Ltd]<http://www.snapdragon-ip.com/>
[Twitter] <https://twitter.com/snapdragon_ip>  [Facebook]  <https://facebook.com/snapdragonip>  [Google +]  <https://plus.google.com/100588677540917321823/about>  [LinkedIn]  <https://www.linkedin.com/company/snapdragon-monitoring-ip>



Jet Doran | Director of Research
jet.doran@snapdragon-ip.com<mailto:jet.doran@snapdragon-ip.com> | +44 (0) 781 483 7782
SnapDragon Monitoring Ltd
Office: +44 (0) 131 466 9249 | Fax: +44 (0) 131 623 1898
111 Whitehouse Loan, Edinburgh, EH9 1AT, United Kingdom
www.snapdragon-ip.com<http://www.snapdragon-ip.com/>
Breathing fire to protect your brand!<http://www.snapdragon-ip.com/>



From: SnapDragon HQ
Sent: 26 September 2016 16:17
To: 'vero@ebay.co.uk' <vero@ebay.co.uk>
Subject: RE: eBay VeRO Programme - NOCI Received - More Information Requested




Dear Vero



Thank you for your response. Endura Ltd are manufacturers of the Movistar cycling team products. You can see the original products on the Endura website: http://www.endurasport.com/search/?SearchVal=Movistar

The products reported below are all counterfeits, they are using the Endura trademark (attached) without authorisation to se",e2M Listing,VeRO - CCR
37733,Bazaar Assets LLP:  VERO Notice of Infringement,"


**************************************
Notice of Claimed Infringement - Statutory Declaration

eBay International A.G.

Attn: VeRO Programme

Fax: +44 (0)20 7153 0985

Date: 5 October 2016

Dear eBay,

I, Allison Duff of Bazaar Assets LLP do solemnly and sincerely declare as follows:

�?I am the owner, or an agent authorised to act on behalf of the owner, of certain intellectual property rights (“IP Owner�?;

�?I have a good faith belief that the listings identified below (by item number) offer items or contain materials that are not authorised by the IP Owner, its agent, or the law, and therefore infringe the IP Owner’s rights according to English law; and

�?I make this declaration conscientiously believing it to be true and correct and in accordance with English law.

Rights owner:_Bazaar Assets LLP

Address of the rights owner: Unit 2 Easter Park, Baker Road, Cramlington NE23 1WQ

_________________________________________________________________________

I may be contacted at:

Name and Title of the author of the Notice: Miss Allison Duff

Company of the author of the Notice: Bazaar Assetts LLP

Address: Unit 2 Easter Park, Baker Road, Cramlington NE23 1WQ

email address (for communication with eBay): sales@beanbagstoreuk.com<mailto:sales@beanbagstoreuk.com>

email address (for communication with sellers)*: _sales@beanbagstoreuk.co",e2M Listing,VeRO - CCR
37734,Infringement,"

Date: 5 October 2016



eBay Inc.

Attn: eBay VeRO Program

2145 Hamilton Ave.

San Jose, CA 95125

Fax number: (408) 516-8811





Dear eBay:



I, the undersigned, state under penalty of perjury that:



- I am the owner, or an agent authorized to act on behalf of the owner, of certain intellectual property rights (""IP Owner"");

- I have a good faith belief that the listings identified (by item

number) in the addendum attached hereto offer items or contain materials that are not authorized by the IP Owner, its agent, or the law; and

- Please act expeditiously to remove the listings identified in the addendum.



I may be contacted at:

Name of IP Owner: RH Smith & Sons T/A Smiffys

Name and title: Sharon Lister, Para Legal

Company: RH Smith & Sons T/A Smiffys

Address:  Caldicot Drive, Heapham Road Industrial Estate

City, State, and Zip: Gainsborough, Lincs, DN21 1FJ, England

Email address (for correspondence with eBay): Intellectualproperty@smiffys.com<mailto:Intellectualproperty@smiffys.com>

Email address (to be given to eBay sellers): IntellectualProperty@smiffys.com<mailto:IntellectualProperty@smiffys.com>

Telephone: +44 1427 616831

Fax:



In addition to the undersigned, the following persons have the proper authority to sign future Notices of Claimed Infringement on behalf of the IP Owner:



Name",e2M Listing,VeRO - CCR
37735,,"Hi Team, i never seen this type of case. Buyer said the packet was empty but i send him original painting and he is telling lie. In this case please help me. i have been very loss. If you decision is ""i will full refund to buyer then i will do. I will respect to your decision"". But give me 1 month time to refund.


Thanks & Best Regards


________________________________
From: highvalueclaimsinfo@ebay.com <highvalueclaimsinfo@ebay.com>
Sent: Friday, October 7, 2016 3:42 AM
To: rakeshkumar145@hotmail.com
Subject: Important Case (5114918621) Update from eBay customer support SR# 1-88280818404

[eBay]
Important Case (5114918621) Update from eBay customer support SR# 1-88280818404







Hello Rakesh,



We are contacting you today about the India Antique Miniature Painting Shah Jahan on a Terrace #2391 (eBay item: 142090703598) you recently sold. We understand that your customer has opened a case because the India Antique Miniature Painting Shah Jahan on a Terrace #2391 an empty box was received. We know how worrisome it is to have a case opened in the resolution center.We appreciate the opportunity to work with you to resolve this issue.



We also appreciate your patience while we respond to your email. We have had a recent influx of emails, and since each one is answered personally it has taken us some time to reply to everyone.



Because of th",M2M Escalation,Buyer Protect High ASP Claim
37736,,NULL,Specialty,Logistics - CCR
37737,,NULL,Specialty,Logistics - CCR
37738,URGENT REINSTATEMENT OF LISTING,"Dear Vero

We have reported a NOCI for listing:

122004872613

We have liaised with the seller and are happy that this now conforms to our
brand credentials.

Please could you reinstate with immediacy?

Many thanks for your continued value help and assistance.

Kind regards


===============================================================


Dear eBay,


I, Fiona MacDougall of Jiffy Packaging Co. Limited do solemnly and
sincerely declare as follows:


�?I am the owner, or an agent authorised to act on behalf of the owner, of
certain intellectual property rights (“IP Owner�?;


�?I have a good faith belief that the listings identified below (by item
number) offer items or contain materials that are not authorised by the IP
Owner, its agent, or the law, and therefore infringe the IP Owner’s rights
according to English law; and


�?I make this declaration conscientiously believing it to be true and
correct and in accordance with English law.


Rights owner: Jiffy Packaging Co. Limited


Address of the rights owner: 9, Road 4, Industrial Estate, Winsford,
Cheshire CW7 3QR


I may be contacted at:
​Fiona MacDougall, Sales Director
Jiffy Packaging Co. Limited

9, Road 4, Industrial Estate, Winsford, Cheshire CW7 3QR
",e2M Listing,VeRO - CCR
37739,Re: Important Case (5114503406) Update from eBay Customer Support SR# 1-86970235261,"Good afternoon,
I haven't received the return label from the seller yet. am I supposed to contact her and ask for the return label? Does this mean that the seller has agreed for me to return the item? Please advise. Thank you.
Vy 

    On Thursday, September 29, 2016 11:08 AM, ""highvalueclaimsinfo@ebay.com"" <highvalueclaimsinfo@ebay.com> wrote:
 

 #yiv1564230544 .yiv1564230544header{background-color:#f9f9f9;font-family:Helvetica Neue, Helvetica, Arial;font-size:11px;}#yiv1564230544 body{margin:16px;color:#333333;background-color:#f9f9f9;font-family:Helvetica Neue, Helvetica, Arial;font-size:14px;font-weight:normal;font-style:normal;line-height:1.2;}#yiv1564230544 #yiv1564230544email p{margin:14px 0;}#yiv1564230544 #yiv1564230544email a{color:#0563C1;}#yiv1564230544 .yiv1564230544subject{font-size:18px;margin:16px 0 30px 0;}#yiv1564230544 .yiv1564230544thanks{margin:36px 0 90px 0 !important;}#yiv1564230544 .yiv1564230544footer{background-color:#FFFFFF;font-family:Helvetica Neue, Helvetica, Arial;font-size:11px;}#yiv1564230544 .yiv1564230544info{color:#767676;font-size:12px;font-family:Neue, Helvetica, Arial;}  Important Case (5114503406) Update from eBay Customer Support SR# 1-86970235261

 Hello Vy, We are contacting you today about the Diorama Flap Bag (eBay item: 172294577838) that you purchased.  I understand you opened the case stating the bag is not as described",M2M Escalation,Buyer Protect High ASP Claim
37740,,"Sent:	2016-10-07 21:00:05.0

Subject:	#221930039077 SR# 1-88084849212

Enter your response here:	Hola, el producto no fue entregado y el vendedor acepto la devolucion del producto. Se pacto que se lo vuelva a comprar, que lo voy a hacer cuando pueda tener el dinero acreditado nuevamente.Necesito el reembolso para comprar neuvamente el producto al mismo vendedor. El mensaje anterior era-------------------------   .header{background-color:#f9f9f9;font-family:Helvetica Neue,Helvetica, Arial; Light;font-size:11px;}body{margin:16px;color:#333333;background-color:#f9f9f9;font-family:Helvetica Neue,Helvetica, Arial; Reg;font-size:14px;font-weight:normal;font-style:normal;line-height: 1.2;}#email p{margin: 14px 0;}#email a{color:#0563C1;}.subject{ font-size: 18px; margin: 16px 0 30px 0;}.thanks{margin: 36px 0 90px 0 !important;}.footer{background-color:#FFFFFF;font-family:Helvetica Neue,Helvetica, Arial; Light;font-size:11px;}.info{color:#767676;font-size:12px;font-family:font-family:Helvetica Neue,Helvetica, Arial; Light; }#221930039077 SR# 1-88084849212Estimado Martin, Mi nombre es Monica, gracias por contactarnos sobre reclamo 5114616723 que fue abierto por el Nikon Camera Bundle (221930039077). Hemos recibido su reclamo y me ser&aacute; un placer ayudarle.Perm&iacute;tame explicarle que ahora revisaremos su reclamo y lo contactaremos entre 48 horas con nuestra decisi&oacute;n final. Martin, apreciamos su paciencia y su cooperaci&oacute;n.  &iexcl;Que tenga un buen d&iacute;a",M2M Escalation,Buyer Protect High ASP Claim
